Training Progress: 	Epoch 1 [0/8883 (0.00%)]		Loss: 1.65029
Training Progress: 	Epoch 1 [320/8883 (3.60%)]		Loss: 1.68599
Training Progress: 	Epoch 1 [640/8883 (7.19%)]		Loss: 1.46664
Training Progress: 	Epoch 1 [960/8883 (10.79%)]		Loss: 1.56269
Training Progress: 	Epoch 1 [1280/8883 (14.39%)]		Loss: 1.50588
Training Progress: 	Epoch 1 [1600/8883 (17.99%)]		Loss: 1.67049
Training Progress: 	Epoch 1 [1920/8883 (21.58%)]		Loss: 1.44089
Training Progress: 	Epoch 1 [2240/8883 (25.18%)]		Loss: 1.57890
Training Progress: 	Epoch 1 [2560/8883 (28.78%)]		Loss: 1.49102
Training Progress: 	Epoch 1 [2880/8883 (32.37%)]		Loss: 1.59067
Training Progress: 	Epoch 1 [3200/8883 (35.97%)]		Loss: 1.52617
Training Progress: 	Epoch 1 [3520/8883 (39.57%)]		Loss: 1.43644
Training Progress: 	Epoch 1 [3840/8883 (43.17%)]		Loss: 1.48197
Training Progress: 	Epoch 1 [4160/8883 (46.76%)]		Loss: 1.60653
Training Progress: 	Epoch 1 [4480/8883 (50.36%)]		Loss: 1.43721
Training Progress: 	Epoch 1 [4800/8883 (53.96%)]		Loss: 1.42475
Training Progress: 	Epoch 1 [5120/8883 (57.55%)]		Loss: 1.32257
Training Progress: 	Epoch 1 [5440/8883 (61.15%)]		Loss: 1.41085
Training Progress: 	Epoch 1 [5760/8883 (64.75%)]		Loss: 1.31634
Training Progress: 	Epoch 1 [6080/8883 (68.35%)]		Loss: 1.66319
Training Progress: 	Epoch 1 [6400/8883 (71.94%)]		Loss: 1.54915
Training Progress: 	Epoch 1 [6720/8883 (75.54%)]		Loss: 1.43624
Training Progress: 	Epoch 1 [7040/8883 (79.14%)]		Loss: 1.38012
Training Progress: 	Epoch 1 [7360/8883 (82.73%)]		Loss: 1.37746
Training Progress: 	Epoch 1 [7680/8883 (86.33%)]		Loss: 1.39229
Training Progress: 	Epoch 1 [8000/8883 (89.93%)]		Loss: 1.24197
Training Progress: 	Epoch 1 [8320/8883 (93.53%)]		Loss: 1.25074
Training Progress: 	Epoch 1 [8640/8883 (97.12%)]		Loss: 1.28239
	Train loss: 0.03945, Accuracy: 3797/8883 (42.00%)
	Validation loss: 0.00073, Accuracy: 825/1692 (48.00%)
	Test loss: 0.00071, Accuracy: 770/1772 (43.00%)

Training Progress: 	Epoch 2 [0/8883 (0.00%)]		Loss: 1.29285
Training Progress: 	Epoch 2 [320/8883 (3.60%)]		Loss: 1.27398
Training Progress: 	Epoch 2 [640/8883 (7.19%)]		Loss: 1.36208
Training Progress: 	Epoch 2 [960/8883 (10.79%)]		Loss: 1.22837
Training Progress: 	Epoch 2 [1280/8883 (14.39%)]		Loss: 1.26533
Training Progress: 	Epoch 2 [1600/8883 (17.99%)]		Loss: 1.14450
Training Progress: 	Epoch 2 [1920/8883 (21.58%)]		Loss: 1.25836
Training Progress: 	Epoch 2 [2240/8883 (25.18%)]		Loss: 1.16746
Training Progress: 	Epoch 2 [2560/8883 (28.78%)]		Loss: 1.42504
Training Progress: 	Epoch 2 [2880/8883 (32.37%)]		Loss: 1.23225
Training Progress: 	Epoch 2 [3200/8883 (35.97%)]		Loss: 1.40114
Training Progress: 	Epoch 2 [3520/8883 (39.57%)]		Loss: 1.27325
Training Progress: 	Epoch 2 [3840/8883 (43.17%)]		Loss: 1.38411
Training Progress: 	Epoch 2 [4160/8883 (46.76%)]		Loss: 1.53744
Training Progress: 	Epoch 2 [4480/8883 (50.36%)]		Loss: 1.22818
Training Progress: 	Epoch 2 [4800/8883 (53.96%)]		Loss: 1.23718
Training Progress: 	Epoch 2 [5120/8883 (57.55%)]		Loss: 1.34197
Training Progress: 	Epoch 2 [5440/8883 (61.15%)]		Loss: 1.33467
Training Progress: 	Epoch 2 [5760/8883 (64.75%)]		Loss: 1.10748
Training Progress: 	Epoch 2 [6080/8883 (68.35%)]		Loss: 1.33007
Training Progress: 	Epoch 2 [6400/8883 (71.94%)]		Loss: 1.34182
Training Progress: 	Epoch 2 [6720/8883 (75.54%)]		Loss: 1.30479
Training Progress: 	Epoch 2 [7040/8883 (79.14%)]		Loss: 1.24327
Training Progress: 	Epoch 2 [7360/8883 (82.73%)]		Loss: 1.43526
Training Progress: 	Epoch 2 [7680/8883 (86.33%)]		Loss: 1.20421
Training Progress: 	Epoch 2 [8000/8883 (89.93%)]		Loss: 1.26216
Training Progress: 	Epoch 2 [8320/8883 (93.53%)]		Loss: 1.05700
Training Progress: 	Epoch 2 [8640/8883 (97.12%)]		Loss: 1.31543
	Train loss: 0.03684, Accuracy: 4132/8883 (46.00%)
	Validation loss: 0.00068, Accuracy: 873/1692 (51.00%)
	Test loss: 0.00066, Accuracy: 825/1772 (46.00%)

Training Progress: 	Epoch 3 [0/8883 (0.00%)]		Loss: 1.20024
Training Progress: 	Epoch 3 [320/8883 (3.60%)]		Loss: 1.23043
Training Progress: 	Epoch 3 [640/8883 (7.19%)]		Loss: 1.20684
Training Progress: 	Epoch 3 [960/8883 (10.79%)]		Loss: 1.15843
Training Progress: 	Epoch 3 [1280/8883 (14.39%)]		Loss: 1.15203
Training Progress: 	Epoch 3 [1600/8883 (17.99%)]		Loss: 1.23057
Training Progress: 	Epoch 3 [1920/8883 (21.58%)]		Loss: 1.04047
Training Progress: 	Epoch 3 [2240/8883 (25.18%)]		Loss: 1.18495
Training Progress: 	Epoch 3 [2560/8883 (28.78%)]		Loss: 1.33986
Training Progress: 	Epoch 3 [2880/8883 (32.37%)]		Loss: 1.26532
Training Progress: 	Epoch 3 [3200/8883 (35.97%)]		Loss: 1.30697
Training Progress: 	Epoch 3 [3520/8883 (39.57%)]		Loss: 1.26743
Training Progress: 	Epoch 3 [3840/8883 (43.17%)]		Loss: 1.35495
Training Progress: 	Epoch 3 [4160/8883 (46.76%)]		Loss: 1.34847
